#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
321919:7098,08/29/18 10:38:52,6,6,0.001642885,0.001488833
321933:7099,08/29/18 14:09:13,282,282,0.104892253,0.101008189
321960:7101,08/29/18 21:26:49,30,24,0.010561237,0.007304554
321961:7101,08/29/18 21:43:01,354,354,0.138274286,0.132127458
321973:7105,08/30/18 09:44:30,1213,1208,0.374405650,0.358669402
321975:7105,08/30/18 17:37:18,866,866,0.150779297,0.145784329
321988:7108,08/31/18 03:56:29,1333,1329,0.400734973,0.384024317
321990:7108,08/31/18 13:16:37,471,471,0.083327180,0.081032253
322013:7109,08/31/18 18:44:38,9,9,0.002365180,0.001146119
322014:7109,08/31/18 18:52:10,17,17,0.007087857,0.006669932
322022:7110,08/31/18 21:02:55,1749,1749,0.469845842,0.452971430
322040:7112,09/01/18 11:09:06,39,39,0.014437163,0.013692557
322057:7114,09/01/18 20:28:32,21,21,0.008913070,0.008235563
322068:7117,09/02/18 02:40:56,674,674,0.243733114,0.232601308
322079:7118,09/02/18 11:24:26,360,360,0.146805575,0.140246021
322106:7120,09/02/18 21:40:43,824,824,0.292894684,0.281861286
322113:7122,09/03/18 06:37:14,112,108,0.045109780,0.040790092
322118:7122,09/03/18 07:20:37,861,861,0.278953042,0.268230856
322179:7123,09/03/18 16:39:51,1739,1739,0.487943251,0.469752688
322201:7124,09/04/18 05:55:39,228,222,0.092967297,0.084336162
322204:7124,09/04/18 07:24:58,1136,1136,0.325527556,0.311168309
322222:7124,09/04/18 14:53:45,526,526,0.096306401,0.092744594
322252:7125,09/04/18 20:29:20,1545,1545,0.439092203,0.420360460
322317:7127,09/05/18 12:01:44,54,54,0.020269796,0.019246082
322319:7127,09/05/18 12:25:29,163,161,0.064543175,0.055502721
322322:7127,09/05/18 13:29:27,1109,1107,0.303951574,0.292465870
322324:7127,09/05/18 21:27:53,416,416,0.071323558,0.069260009
322332:7128,09/06/18 02:11:56,1019,1019,0.326775499,0.313997936
322348:7131,09/06/18 13:43:39,1466,1466,0.430054056,0.414115030
322355:7132,09/07/18 01:05:42,102,99,0.037209172,0.033876428
322356:7132,09/07/18 01:45:19,779,779,0.242599960,0.234584984
322381:7133,09/07/18 11:10:32,533,533,0.186112713,0.178731076
322407:7135,09/07/18 17:47:22,537,537,0.178565543,0.169959735
322430:7137,09/08/18 01:19:19,749,739,0.247501876,0.235403052
322431:7137,09/08/18 06:12:25,1161,1161,0.235684808,0.227639493
322480:7139,09/08/18 17:33:13,349,341,0.120569618,0.109338205
322492:7139,09/08/18 20:56:03,1386,1386,0.297742455,0.287516409
322510:7142,09/09/18 08:32:39,9,9,0.002497762,0.002228898
322599:7144,09/09/18 15:58:47,252,252,0.100549613,0.094351445
322602:7144,09/09/18 17:40:01,70,69,0.026159630,0.024109226
322603:7144,09/09/18 18:08:09,10,10,0.003641638,0.002693914
322605:7144,09/09/18 18:13:23,280,280,0.093445400,0.089624558
322617:7144,09/09/18 21:12:33,601,601,0.141695210,0.136646284
322625:7145,09/10/18 03:32:10,1120,1120,0.347819181,0.335275725
322633:7145,09/10/18 10:51:34,249,249,0.052624938,0.050945858
323414:7213,09/24/18 01:51:16,46,40,0.008131694,0.006204142
323423:7213,09/24/18 05:01:48,136,136,0.022299813,0.021037074
323470:7217,09/24/18 13:47:51,222,221,0.084712817,0.080200895
323471:7217,09/24/18 15:18:19,238,232,0.082436740,0.075496214
323472:7217,09/24/18 16:50:41,64,64,0.020336111,0.019315330
323473:7217,09/24/18 17:40:41,227,227,0.063902912,0.054519958
323474:7217,09/24/18 19:42:20,355,352,0.080981029,0.077808151
323475:7217,09/24/18 22:00:42,77,77,0.014812379,0.014194141
323487:7218,09/25/18 03:28:20,451,451,0.161054879,0.154167367
323488:7218,09/25/18 06:30:08,750,745,0.194249375,0.186198495
